"iteration","point_index","ctrl_x","ctrl_phi","ctrl_deriv"
1,1,-0.028450775,1,0
1,2,0.000550359,0,0
1,3,0.0299742,1,0
2,1,-0.028450775,1,0
2,2,0.000550359,0,0
2,3,0.0299742,1,0
3,1,-0.028450775,1,0
3,2,0.000550359,0,0
3,3,0.0299742,1,0
4,1,-0.028450775,1,0
4,2,0.000585708,0,0
4,3,0.0299742,1,0
5,1,-0.028450775,1,0
5,2,0.000783591,0,0
5,3,0.0299742,1,0
6,1,-0.028450775,1,0
6,2,0.000783591,0,0
6,3,0.0299742,1,0
7,1,-0.028450775,1,0
7,2,0.001198657,0,0
7,3,0.028379434,1,0
8,1,-0.028450775,1,0
8,2,0.00131582,0,0
8,3,0.028379434,1,0
9,1,-0.028450775,1,0
9,2,0.001380545,0,0
9,3,0.028379434,1,0
10,1,-0.027518736,1,0
10,2,0.001612484,0,0
10,3,0.028379434,1,0
11,1,-0.026607747,1,0
11,2,0.001612484,0,0
11,3,0.028379434,1,0
12,1,-0.026148902,1,0
12,2,0.001601952,0,0
12,3,0.028379434,1,0
13,1,-0.026148902,1,0
13,2,0.001380545,0,0
13,3,0.028379434,1,0
14,1,-0.026148902,1,0
14,2,0.001380545,0,0
14,3,0.028379434,1,0
15,1,-0.02444295,1,0
15,2,0.00131582,0,0
15,3,0.028379434,1,0
16,1,-0.02444295,1,0
16,2,0.001198657,0,0
16,3,0.027037465,1,0
17,1,-0.026148902,1,0
17,2,0.00131582,0,0
17,3,0.027037465,1,0
18,1,-0.026148902,1,0
18,2,0.001198657,0,0
18,3,0.027037465,1,0
19,1,-0.02444295,1,0
19,2,0.00131582,0,0
19,3,0.027037465,1,0
20,1,-0.02444295,1,0
20,2,0.001198657,0,0
20,3,0.027037465,0,0
21,1,-0.02444295,1,0
21,2,0.001198657,0,0
21,3,0.027037465,0,0
22,1,-0.02444295,1,0
22,2,0.001198657,0,0
22,3,0.027037465,0,0
23,1,-0.026607747,1,0
23,2,0.001064674,0,0
23,3,0.027037465,0,0
24,1,-0.026607747,1,0
24,2,0.000863421,0,0
24,3,0.027037465,0,0
25,1,-0.026607747,1,0
25,2,0.000863421,0,0
25,3,0.027037465,1,0
26,1,-0.026607747,1,0
26,2,0.000863421,0,0
26,3,0.027037465,1,0
27,1,-0.026607747,1,0
27,2,0.000538703,0,0
27,3,0.027037465,1,0
28,1,-0.026607747,1,0
28,2,0.000538703,0,0
28,3,0.027037465,1,0
29,1,-0.026607747,1,0
29,2,0.000538703,0,0
29,3,0.027037465,1,0
30,1,-0.026607747,1,0
30,2,0.000538703,0,0
30,3,0.027037465,1,0
31,1,-0.026607747,1,0
31,2,0.000538703,0,0
31,3,0.027037465,1,0
32,1,-0.026607747,1,0
32,2,0.000520113,0,0
32,3,0.027037465,1,0
33,1,-0.026607747,1,0
33,2,0.000520113,0,0
33,3,0.027037465,1,0
34,1,-0.026607747,1,0
34,2,0.000520113,0,0
34,3,0.027037465,1,0
35,1,-0.026607747,1,0
35,2,0.000520113,0,0
35,3,0.027037465,1,0
36,1,-0.026607747,1,0
36,2,0.000538703,0,0
36,3,0.027037465,1,0
37,1,-0.026607747,1,0
37,2,0.000538703,0,0
37,3,0.027037465,1,0
38,1,-0.026607747,1,0
38,2,0.000555776,0,0
38,3,0.027037465,1,0
39,1,-0.026607747,1,0
39,2,0.000550359,0,0
39,3,0.027037465,1,0
40,1,-0.026607747,1,0
40,2,0.000538703,0,0
40,3,0.027037465,1,0
41,1,-0.026607747,1,0
41,2,0.000520113,0,0
41,3,0.027037465,1,0
42,1,-0.026448367,1,0
42,2,0.000555776,0,0
42,3,0.027037465,1,0
43,1,-0.026448367,1,0
43,2,0.000555776,0,0
43,3,0.027037465,1,0
44,1,-0.026448367,1,0
44,2,0.000783591,0,0
44,3,0.027037465,1,0
45,1,-0.026448367,1,0
45,2,0.000585708,0,0
45,3,0.027037465,1,0
46,1,-0.026448367,1,0
46,2,0.000585708,0,0
46,3,0.027037465,1,0
47,1,-0.026448367,1,0
47,2,0.000555776,0,0
47,3,0.027037465,1,0
48,1,-0.026448367,1,0
48,2,0.000783591,0,0
48,3,0.027037465,1,0
49,1,-0.026448367,1,0
49,2,0.000863421,0,0
49,3,0.027037465,1,0
50,1,-0.026448367,1,0
50,2,0.000863421,0,0
50,3,0.027037465,1,0
