"time_index","target"
"2009-01-05",-0.004679315
"2009-01-06",0.007786738
"2009-01-07",-0.030469134
"2009-01-08",0.003391364
"2009-01-09",-0.021533208
"2009-01-12",-0.022822626
"2009-01-13",0.001756552
"2009-01-14",-0.034032484
"2009-01-15",0.001328305
"2009-01-16",0.007533126
"2009-01-19",-0.054261984
"2009-01-20",0
"2009-01-21",0.042572033
"2009-01-22",-0.015278458
"2009-01-23",0.005363236
"2009-01-26",0.005537856
"2009-01-27",0.010866312
"2009-01-28",0.033006834
"2009-01-29",-0.033681051
"2009-01-30",-0.02305281
"2009-02-02",-0.000532907
"2009-02-03",0.01570993
"2009-02-04",-0.007517662
"2009-02-05",0.016233194
"2009-02-06",0.026540681
"2009-02-09",0.001484047
"2009-02-10",-0.05036862
"2009-02-11",0.007923456
"2009-02-12",0.001737641
"2009-02-13",-0.010048038
"2009-02-16",-0.046629446
"2009-02-17",0
"2009-02-18",-0.000950817
"2009-02-19",-0.012096922
"2009-02-20",-0.011478573
"2009-02-23",-0.035315356
"2009-02-24",0.039320053
"2009-02-25",-0.010715038
"2009-02-26",-0.015905668
"2009-02-27",-0.023846498
"2009-03-02",-0.047741863
"2009-03-03",-0.006427392
"2009-03-04",0.02347539
"2009-03-05",-0.043463291
"2009-03-06",0.001215289
"2009-03-09",-0.010074281
"2009-03-10",0.06171871
"2009-03-11",0.002442817
"2009-03-12",0.039921068
"2009-03-13",0.007709238
"2009-03-16",-0.003522156
"2009-03-17",0.031634285
"2009-03-18",0.020643416
"2009-03-19",-0.013064131
"2009-03-20",-0.019967428
"2009-03-23",0.06836638
"2009-03-24",-0.020626376
"2009-03-25",0.00958032
"2009-03-26",0.023052626
"2009-03-27",-0.020524738
"2009-03-30",-0.035439358
"2009-03-31",0.013044212
"2009-04-01",0.016421016
"2009-04-02",0.028322241
"2009-04-03",0.009684728
"2009-04-06",-0.008367252
"2009-04-07",-0.024143678
"2009-04-08",0.011714575
"2009-04-09",0.037347061
"2009-04-10",0.002530186
"2009-04-13",0
"2009-04-14",-0.02026854
"2009-04-15",0.012470933
"2009-04-16",0.015419321
"2009-04-17",0.004957068
"2009-04-20",-0.043732255
"2009-04-21",0.021029382
"2009-04-22",-0.007711286
"2009-04-24",0.026531285
"2009-04-27",-0.010117621
"2009-04-28",-0.002744255
"2009-04-29",0.021379806
