dataset_id,workflow,model_family,strategy,iteration,rmse
DS09,mc.BDES,BDES,baseline,1,1.7532619458468635
DS09,mc.BDES,BDES,baseline,2,2.0798172200877567
DS09,mc.BDES,BDES,baseline,3,3.265673714214383
DS09,mc.BDES,BDES,baseline,4,3.272548784096405
DS09,mc.BDES,BDES,baseline,5,3.2441539858784942
DS09,mc.BDES,BDES,baseline,6,3.248484782774153
DS09,mc.BDES,BDES,baseline,7,3.2804898487172807
DS09,mc.BDES,BDES,baseline,8,3.2909563173982312
DS09,mc.BDES,BDES,baseline,9,3.285870987897431
DS09,mc.BDES,BDES,baseline,10,3.296223468912119
DS09,mc.BDES,BDES,baseline,11,3.280647470030792
DS09,mc.BDES,BDES,baseline,12,3.2995064394802993
DS09,mc.BDES,BDES,baseline,13,3.2866749330233542
DS09,mc.BDES,BDES,baseline,14,3.3202045221405307
DS09,mc.BDES,BDES,baseline,15,3.2994995208110582
DS09,mc.BDES,BDES,baseline,16,3.313037256692378
DS09,mc.BDES,BDES,baseline,17,3.3093814812787357
DS09,mc.BDES,BDES,baseline,18,3.2846918090328185
DS09,mc.BDES,BDES,baseline,19,3.26871810688935
DS09,mc.BDES,BDES,baseline,20,3.2820762444895797
DS09,mc.BDES,BDES,baseline,21,3.2586524293237735
DS09,mc.BDES,BDES,baseline,22,3.316634873728498
DS09,mc.BDES,BDES,baseline,23,3.3319681788643765
DS09,mc.BDES,BDES,baseline,24,3.3465082629758975
DS09,mc.BDES,BDES,baseline,25,3.336712653505297
DS09,mc.BDES,BDES,baseline,26,3.3339708693779126
DS09,mc.BDES,BDES,baseline,27,3.3343539156357234
DS09,mc.BDES,BDES,baseline,28,3.31231135583132
DS09,mc.BDES,BDES,baseline,29,3.2957443146268552
DS09,mc.BDES,BDES,baseline,30,3.3173212341802194
DS09,mc.BDES,BDES,baseline,31,3.315782272410395
DS09,mc.BDES,BDES,baseline,32,3.294932007662635
DS09,mc.BDES,BDES,baseline,33,3.285043116381679
DS09,mc.BDES,BDES,baseline,34,3.28891871428898
DS09,mc.BDES,BDES,baseline,35,3.3002213379489977
DS09,mc.BDES,BDES,baseline,36,3.307178798625009
DS09,mc.BDES,BDES,baseline,37,3.2866427633328588
DS09,mc.BDES,BDES,baseline,38,3.3116140903008
DS09,mc.BDES,BDES,baseline,39,3.3037434160377677
DS09,mc.BDES,BDES,baseline,40,3.3045091668026636
DS09,mc.BDES,BDES,baseline,41,3.3320867295998564
DS09,mc.BDES,BDES,baseline,42,3.325774822309797
DS09,mc.BDES,BDES,baseline,43,3.336832818323685
DS09,mc.BDES,BDES,baseline,44,3.3205822659512165
DS09,mc.BDES,BDES,baseline,45,3.3063547268190607
DS09,mc.BDES,BDES,baseline,46,3.2541550496672524
DS09,mc.BDES,BDES,baseline,47,3.2701967947250132
DS09,mc.BDES,BDES,baseline,48,3.272000493697724
DS09,mc.BDES,BDES,baseline,49,3.2705552194138447
DS09,mc.BDES,BDES,baseline,50,2.7611175583905063
DS09,mc.arima,arima,baseline,1,1.7181997683316919
DS09,mc.arima,arima,baseline,2,1.9754057416620763
DS09,mc.arima,arima,baseline,3,3.2799631463750174
DS09,mc.arima,arima,baseline,4,3.337703009088182
